tweet_id,retweets,favorites,followers,friends,source_device
875144289856114688,4298,19991,8989897,16,Twitter for iPhone
875097192612077568,5345,25035,8989897,16,Twitter for iPhone
875021211251597312,4144,23295,8989897,16,Twitter for iPhone
874680097055178752,4076,25385,8989897,16,Twitter for iPhone
874434818259525634,12746,0,8989897,16,Twitter for iPhone
874296783580663808,3634,23796,8989897,16,Twitter for iPhone
874057562936811520,3507,20750,8989897,16,Twitter for iPhone
874012996292530176,8974,31154,8989897,16,Twitter for iPhone
873580283840344065,3462,22138,8989897,16,Twitter for iPhone
873337748698140672,1390,0,8989897,16,Twitter for iPhone
873213775632977920,1390,6544,8989897,16,Twitter for iPhone
872967104147763200,4759,24888,8989897,16,Twitter for iPhone
872820683541237760,3279,13481,8989897,16,Twitter for iPhone
872620804844003328,3210,18965,8989897,16,Twitter for iPhone
872486979161796608,8028,37268,8989897,16,Twitter for iPhone
872122724285648897,7156,31302,8989897,16,Twitter for iPhone
871879754684805121,9652,34311,8989897,16,Twitter for iPhone
871762521631449091,3076,18499,8989897,16,Twitter for iPhone
871515927908634625,3064,18470,8989897,16,Twitter for iPhone
871166179821445120,5060,0,8989897,16,Twitter for iPhone
871102520638267392,4875,19166,8989897,16,Twitter for iPhone
871032628920680449,3367,20841,8989897,16,Twitter for iPhone
870804317367881728,5473,30786,8990282,16,Twitter for iPhone
870726314365509632,3,110,8989897,16,Twitter for iPhone
870656317836468226,2303,11254,8989897,16,Twitter for iPhone
870374049280663552,23650,76357,8989897,16,Twitter for iPhone
870308999962521604,3678,20109,8989897,16,Twitter for iPhone
870063196459192321,7367,33480,8989897,16,Twitter for iPhone
869772420881756160,9033,39160,8989897,16,Twitter for iPhone
869702957897576449,5585,25873,8989897,16,Twitter for iPhone
869596645499047938,2761,14681,8989897,16,Twitter for iPhone
869227993411051520,3345,18745,8989897,16,Twitter for iPhone
868880397819494401,12800,59972,8989897,16,Twitter for iPhone
868639477480148993,1829,0,8989897,16,Twitter for iPhone
868622495443632128,4700,24434,8989897,16,Twitter for iPhone
868552278524837888,1829,9269,8989897,16,Twitter for iPhone
867900495410671616,3730,22297,8989897,16,Twitter for iPhone
867774946302451713,6531,31257,8989897,16,Twitter for iPhone
867421006826221569,2222,14797,8989897,16,Twitter for iPhone
867072653475098625,106,0,8989897,16,Twitter for iPhone
867051520902168576,7049,29641,8989897,16,Twitter for iPhone
866720684873056260,4303,18411,8989897,16,Twitter for iPhone
866686824827068416,3088,17739,8989897,16,Twitter for iPhone
866450705531457537,31551,112583,8989897,16,Twitter for iPhone
866334964761202691,12746,48203,8989897,16,Twitter for iPhone
866094527597207552,7492,0,8989897,16,Twitter for iPhone
865718153858494464,5048,23722,8989897,16,Twitter for iPhone
865359393868664832,4492,24417,8989897,16,Twitter for iPhone
865006731092295680,6942,25880,8989897,16,Twitter for iPhone
864873206498414592,7798,29760,8989897,16,Twitter for iPhone
864279568663928832,2705,13497,8989897,16,Twitter for iPhone
864197398364647424,7925,27646,8989897,16,Twitter for iPhone
863907417377173506,3728,19079,8989897,16,Twitter for iPhone
863553081350529029,3778,14096,8989897,16,Twitter for iPhone
863471782782697472,2170,0,8989897,16,Twitter for iPhone
